ReadDate,Reading,ConsumptionProfileDate,ProfileDateConsumption,H0030,H0100,H0130,H0200,H0230,H0300,H0330,H0400,H0430,H0500,H0530,H0600,H0630,H0700,H0730,H0800,H0830,H0900,H0930,H01000,H01030,H01100,H01130,H01200,H01230,H01300,H01330,H01400,H01430,H01500,H01530,H01600,H01630,H01700,H01730,H01800,H01830,H01900,H01930,H02000,H02030,H02100,H02130,H02200,H02230,H02300,H02330,H02400,ReportingUnit
26/12/2022,1796503,26/12/2022,8154.2069,129.2816,160.8136,126.1282,148.201,157.6602,160.8136,179.7331,163.9671,157.6602,157.6602,176.5797,176.5797,179.7331,176.5797,179.7331,179.7331,189.1934,176.5797,179.7331,179.7331,179.7331,176.5797,176.5797,179.7331,176.5797,176.5797,176.5797,176.5797,173.4273,176.5797,176.5797,176.5797,176.5797,173.4273,176.5797,170.2739,173.4273,167.1205,170.2739,170.2739,167.1205,170.2739,163.9671,167.1205,163.9671,160.8136,163.9671,160.8136,KWh
14/04/2022,744544,14/04/2022,6344.6502,132.7729,132.7729,139.0958,148.5791,129.6114,139.0958,139.0958,139.0958,142.2562,142.2562,151.7406,154.902,161.2239,154.902,164.3854,139.0958,158.0624,132.7729,126.4499,123.2896,126.4499,129.6114,129.6114,126.4499,135.9343,120.1281,129.6114,120.1281,120.1281,123.2896,120.1281,123.2896,120.1281,123.2896,120.1281,126.4499,129.6114,123.2896,126.4499,120.1281,132.7729,123.2896,120.1281,110.6437,120.1281,139.0958,120.1281,132.7729,KWh
06/11/2022,1775266,06/11/2022,6379.3088,134.4947,128.3809,122.2671,143.6643,131.4378,131.4378,131.4378,134.4947,146.7212,134.4947,134.4947,140.6074,149.7781,143.6643,134.4947,149.7781,146.7212,137.5505,152.8339,140.6074,137.5505,134.4947,131.4378,128.3809,128.3809,122.2671,134.4947,122.2671,125.324,131.4378,125.324,125.324,128.3809,137.5505,122.2671,134.4947,128.3809,131.4378,134.4947,128.3809,125.324,131.4378,128.3809,125.324,122.2671,122.2671,143.6643,119.2113,KWh
12/09/2022,1759331,12/09/2022,4836.0075,90.0922,96.5267,90.0922,93.3089,90.0922,90.0922,86.8744,83.6567,86.8744,86.8744,96.5267,96.5267,102.9622,106.18,102.9622,109.3978,102.9622,106.18,128.7022,122.2678,109.3978,109.3978,106.18,106.18,106.18,106.18,102.9622,106.18,106.18,106.18,106.18,102.9622,102.9622,106.18,102.9622,102.9622,102.9622,106.18,102.9622,102.9622,96.5267,96.5267,102.9622,90.0922,93.3089,99.7444,93.3089,90.0922,KWh
31/05/2022,753165,31/05/2022,6172.2916,121.9621,128.3805,105.9146,118.7524,125.1718,121.9621,128.3805,115.5426,118.7524,128.3805,124.8581,121.6564,140.8655,140.8655,140.8655,134.4621,137.6638,140.8655,147.2677,140.8655,115.2531,147.2677,124.8581,150.4694,128.0587,140.8655,128.0587,128.0587,137.6638,124.8581,121.6564,134.4621,124.8581,131.2604,128.0587,128.0587,134.4621,121.6564,131.2604,128.0587,115.2531,131.2604,121.6564,124.8581,124.8581,118.4548,131.2604,112.0514,KWh
03/11/2022,1774204,03/11/2022,5901.4989,124.2307,127.4152,127.4152,121.0451,124.2307,124.2307,124.2307,130.6008,130.6008,117.8595,134.1242,137.3179,146.8977,140.5115,143.7041,150.0914,146.8977,143.7041,134.1242,137.3179,134.1242,108.5773,83.0292,83.0292,76.642,98.9964,127.737,127.737,121.3508,134.1242,130.9306,127.737,140.5115,140.5115,140.5115,137.3179,137.3179,143.7041,140.5115,137.3179,134.1242,130.9306,79.8356,83.0292,83.0292,83.0292,86.2229,83.0292,KWh
28/11/2022,1783441,28/11/2022,7443.481,127.9624,156.0514,140.4463,146.6888,156.0514,143.5675,140.4463,143.5675,143.5675,149.81,156.4536,159.5829,181.4869,181.4869,172.1001,172.1001,162.7122,184.6162,159.5829,165.8415,150.1961,172.1001,147.0669,162.7122,162.7122,140.8083,172.1001,153.3254,150.1961,147.0669,156.4536,165.8415,162.7122,153.3254,159.5829,162.7122,143.9376,159.5829,143.9376,156.4536,156.4536,134.5508,150.1961,143.9376,143.9376,153.3254,137.6801,156.4536,KWh
24/10/2022,1771085,24/10/2022,5711.2371,101.9326,114.6739,105.1182,111.4883,108.3038,111.4883,105.1182,111.4883,108.3038,121.0451,113.8052,126.4499,129.6114,126.4499,129.6114,129.6114,123.2896,129.6114,126.4499,126.4499,123.2896,129.6114,120.1281,126.4499,126.4499,120.1281,123.2896,120.1281,116.9666,110.6437,123.2896,120.1281,123.2896,123.2896,123.2896,126.4499,123.2896,116.9666,120.1281,120.1281,110.6437,113.8052,120.1281,110.6437,113.8052,116.9666,116.9666,110.6437,KWh
25/03/2022,737057,25/03/2022,6293.8167,132.435,138.7419,132.435,132.435,132.435,132.435,132.435,132.435,135.5884,138.7419,132.435,141.8942,151.3545,151.3545,154.5079,154.5079,85.137,129.2816,151.3545,129.2816,129.2816,129.2816,126.1282,129.2816,126.1282,126.1282,129.2816,122.9758,122.9758,126.1282,119.8224,122.9758,122.9758,132.435,116.669,132.435,132.435,129.2816,126.1282,135.5884,135.5884,116.669,132.435,126.1282,132.435,126.1282,132.435,132.435,KWh
29/05/2022,752514,29/05/2022,6114.1428,134.4621,124.8581,124.8581,134.4621,112.0514,128.0587,128.0587,131.2604,128.0587,131.2604,128.3805,138.0097,125.1718,141.2194,125.1718,144.428,121.9621,144.428,125.1718,125.1718,125.1718,138.0097,121.9621,128.3805,138.0097,121.9621,131.5902,125.1718,125.1718,121.9621,128.3805,131.5902,134.7999,118.7524,131.5902,134.7999,118.7524,121.9621,121.9621,121.9621,121.9621,115.5426,112.3329,125.1718,121.9621,121.9621,121.9621,134.7999,KWh
03/02/2022,715658,03/02/2022,7302.8423,132.435,151.3545,151.3545,138.7419,138.7419,135.5884,157.6602,141.8942,138.7419,151.3545,148.201,157.6602,157.6602,160.8136,163.9671,160.8136,160.8136,160.8136,163.9671,163.9671,160.8136,163.9671,160.8136,157.6602,154.5079,154.5079,154.5079,148.201,148.201,148.201,151.3545,154.5079,154.5079,160.8136,141.8942,167.1205,151.3545,151.3545,151.3545,154.5079,145.0476,157.6602,141.8942,151.3545,151.3545,141.8942,145.0476,141.8942,KWh
20/12/2022,1793881,20/12/2022,7741.2757,110.0806,157.258,113.226,157.258,113.226,160.4034,113.226,157.258,144.6776,135.2426,161.2239,177.0301,148.5791,180.1916,177.0301,180.1916,180.1916,180.1916,180.1916,139.0958,189.676,177.0301,177.0301,135.9343,183.3531,142.2562,189.676,148.5791,154.902,180.1916,142.2562,177.0301,177.0301,177.0301,173.8698,148.5791,167.5468,173.8698,170.7083,151.7406,170.7083,170.7083,167.5468,167.5468,167.5468,164.3854,161.2239,167.5468,KWh
